FID,lon,lat,speed3,speed3_3
4299,118.93057,42.80438,-161.8109571,-161.8109571
4300,119.125145,42.784542,-159.7476809,-159.7476809
4301,119.31959,42.76442,-157.5149828,-157.5149828
4302,119.51393,42.744003,-154.6146206,-154.6146206
4303,119.70809,42.7233,-151.4266116,-151.4266116
4304,119.902214,42.702312,-150.1240099,-150.1240099
4305,120.09612,42.681038,-149.7654257,-149.7654257
4306,120.28999,42.659466,-149.3249534,-149.3249534
4307,120.48369,42.63761,-148.9047736,-148.9047736
4308,120.67729,42.615482,-148.5631723,-148.5631723
4309,120.87072,42.59306,-148.3327861,-148.3327861
4310,121.064026,42.570343,-148.2834223,-148.2834223
4311,121.25717,42.547363,-148.3825115,-148.3825115
4312,121.450165,42.524082,-148.9026897,-148.9026897
4313,121.64308,42.500534,-149.9970339,-149.9970339
4314,121.6717458,42.75983509,-149.975437,-149.975437
4315,121.8643258,42.76422309,-148.9812069,-148.9812069
4316,122.0567658,42.76829509,-148.7562102,-148.7562102
4317,122.2490658,42.77206509,-148.9783715,-148.9783715
4318,122.4411708,42.77552509,-148.4150977,-148.4150977
4319,122.6331258,42.77867309,-147.1809186,-147.1809186
4320,109.89722,43.536255,-128.9599871,-128.9599871
4321,110.098915,43.53032,-128.8032005,-128.8032005
4322,110.292755,43.52406,-128.4515172,-128.4515172
4323,110.48939,43.51749,-128.1756943,-128.1756943
4324,110.688705,43.51062,-127.7976856,-127.7976856
4325,110.88581,43.503426,-127.6300134,-127.6300134
4326,111.08282,43.49593,-127.6731434,-127.6731434
4327,111.281,43.488132,-127.6798375,-127.6798375
4328,111.4783,43.479996,-127.7479273,-127.7479273
4329,111.67608,43.471573,-127.833128,-127.833128
4330,111.87367,43.462837,-128.1089065,-128.1089065
4331,112.07113,43.45378,-128.1765398,-128.1765398
4332,112.268745,43.44443,-127.9891207,-127.9891207
4333,112.46625,43.434765,-127.5147372,-127.5147372
4334,112.66374,43.42479,-126.5694957,-126.5694957
4335,112.86109,43.414505,-126.0412218,-126.0412218
