lon,lat,uu01,vv01,speed,speed_1
116.47012,33.499462,0.46,0.08,9.870811024,9.870811024
116.64187,33.490223,0.14,0.05,19.66379276,19.66379276
116.81374,33.480732,0.08,0.03,20.56647154,20.56647154
116.985535,33.470993,0.07,0.02,15.95348364,15.95348364
117.15728,33.461025,0.08,0.01,7.128630261,7.128630261
117.32885,33.450817,0.09,0.01,6.343407583,6.343407583
117.50049,33.44037,0.1,0,0,0
117.67195,33.42968,0.09,0,0,0
117.84338,33.418755,0.09,0,0,0
118.014725,33.407593,0.1,0,0,0
118.18603,33.39619,0.06,0,0,0
118.35729,33.38454,0.16,0,0,0
118.52842,33.37267,0.16,0,0,0
118.699524,33.360554,0.17,0.01,3.368168181,3.368168181
118.87054,33.348206,0.16,0,0,0
119.04147,33.33561,0.15,0,0,0
119.21231,33.322792,0.12,0,0,0
119.38308,33.30973,0.12,0,0,0
119.55377,33.296436,0.11,0,0,0
119.7244,33.282906,0.13,0.02,8.750598443,8.750598443
119.89492,33.269142,0.14,0.02,8.13422606,8.13422606
120.06535,33.255142,0.17,0.02,6.713240134,6.713240134
120.23569,33.24091,0.2,0.03,8.535092538,8.535092538
120.40598,33.22645,0.2,0.03,8.535092538,8.535092538
120.57616,33.211746,0.15,0.02,7.598495482,7.598495482
120.74623,33.196815,0.1,0.02,11.31566904,11.31566904
120.91622,33.18165,0.08,0.02,14.04336285,14.04336285
121.08613,33.166252,0.04,0.02,26.57852536,26.57852536
121.25591,33.15062,0.04,0.02,26.57852536,26.57852536
121.42562,33.13476,0.03,0.01,18.4442993,18.4442993
121.59523,33.11867,0.02,0.01,26.57852536,26.57852536
121.76476,33.102352,0.01,0.01,45.02282465,45.02282465
121.93416,33.0858,0,0.01,90.04564931,90.04564931
123.45415,32.92657,0.68,0.08,6.713240134,6.713240134
107.48486,33.78913,0.3,0.09,16.70771433,16.70771433
107.65756,33.79258,0.32,0.1,17.36282685,17.36282685
107.83093,33.795776,0.39,0.11,15.75916289,15.75916289
108.00403,33.79873,0.64,0.2,17.36282685,17.36282685
108.17737,33.801445,2.74,0.22,4.592871576,4.592871576
108.350525,33.8039,2.39,0.19,4.547640769,4.547640769
108.52356,33.806114,1.51,0.17,6.426728514,6.426728514
108.696594,33.808094,1.32,0.15,6.486362002,6.486362002
108.869965,33.80981,0.89,0.13,8.314492261,8.314492261
109.04385,33.811295,1.22,0.12,5.620429909,5.620429909
109.2164,33.812523,1.69,0.1,3.388051927,3.388051927
109.390594,33.81351,1.61,0.09,3.201162563,3.201162563
109.56299,33.81426,1.41,0.08,3.24898989,3.24898989
109.73459,33.814747,1.39,0.07,2.884425733,2.884425733
109.90512,33.815002,1.39,0.06,2.472918426,2.472918426
110.08623,33.815006,1.41,0.04,1.625800569,1.625800569
110.25641,33.814762,1.43,0.03,1.202442652,1.202442652
110.430695,33.814278,1.3,0.03,1.322646185,1.322646185
110.60329,33.813545,0.92,0.04,2.490815659,2.490815659
