lon,lat,uu01,vv01,vv02
111.81575,33.80155,1.01,0.02,0.02
111.98899,33.798847,1.63,0.02,0.02
112.16221,33.795902,1.77,0.02,0.02
112.3354,33.792713,2.75,0.03,0.03
112.50835,33.78928,4.7,0.03,0.03
112.68154,33.7856,6.12,0.03,0.03
112.85458,33.781685,6.79,0.04,0.04
113.0277,33.77751,6.16,0.04,0.04
113.20076,33.773087,4.39,0.06,0.06
113.37366,33.76843,4.57,0.07,0.07
113.54663,33.76352,4.66,0.08,0.08
113.71958,33.75837,4.82,0.08,0.08
113.89255,33.752975,4.99,0.08,0.08
114.065346,33.747334,4.89,0.09,0.09
114.23813,33.741455,4.66,0.09,0.09
114.41091,33.73533,4.43,0.11,0.11
114.58382,33.72895,3.85,0.1,0.1
114.75646,33.72234,3.86,0.1,0.1
114.92908,33.71548,3.87,0.09,0.09
115.1017,33.708374,3.33,0.07,0.07
115.2743,33.70103,1.82,0.07,0.07
115.446945,33.693436,1.54,0.08,0.08
115.61929,33.685616,1.42,0.09,0.09
115.7918,33.677536,0.93,0.1,0.1
115.96418,33.669224,0.51,0.1,0.1
116.13645,33.66067,0.5,0.09,0.09
116.30885,33.651867,0.26,0.08,0.08
116.48105,33.642822,0.12,0.05,0.05
116.65317,33.63354,0.05,0.02,0.02
116.82525,33.624012,0.03,0.01,0.01
116.997406,33.614246,0.03,0,0
117.169334,33.604244,0.03,0,0
117.34121,33.594,0.03,0,0
117.513115,33.58351,0.03,0,0
117.68496,33.572784,0.03,0,0
117.85666,33.561825,0.04,0,0
118.028305,33.55062,0.02,0,0
118.199875,33.539177,0.06,0,0
118.37143,33.527493,0.06,0,0
118.54285,33.51558,0.07,0,0
118.71419,33.50342,0.06,0,0
118.88549,33.491028,0.06,0,0
119.05673,33.47839,0.05,0,0
119.227806,33.46552,0.06,0,0
119.398865,33.452415,0.12,0,0
119.569885,33.439075,0.13,0,0
119.74078,33.42549,0.18,0.02,0.02
119.91156,33.411686,0.25,0.02,0.02
120.0823,33.397636,0.27,0.03,0.03
120.25289,33.383354,0.25,0.03,0.03
120.42342,33.36883,0.17,0.02,0.02
120.59391,33.354084,0.1,0.02,0.02
120.76427,33.339096,0.09,0.02,0.02
120.934494,33.323883,0.04,0.02,0.02
121.104706,33.30843,0.03,0.02,0.02
121.27478,33.292747,0.03,0.02,0.02
121.44478,33.27683,0.02,0.01,0.01
121.61462,33.26069,0.01,0.01,0.01
121.78441,33.244305,0,0.01,0.01
121.95409,33.2277,0,0,0
122.123665,33.210857,0,0,0
122.29316,33.193794,0,0,0
