FID,lon,lat,uu01,vv01,speed,speed_1
138,110.43656,35.10937,5.79,0.07,0.693012671,0.693012671
139,110.6123,35.108356,5.72,0.06,0.601287466,0.601287466
140,110.788826,35.10709,5.71,0.06,0.602340431,0.602340431
141,110.9649,35.105568,6.87,0.07,0.584075691,0.584075691
142,111.14038,35.103794,6.36,0.11,0.991368528,0.991368528
143,111.31671,35.10177,7.42,0.13,1.004240827,1.004240827
144,111.49253,35.099487,10.59,0.13,0.703669027,0.703669027
145,111.66824,35.096954,12.49,0.1,0.458956092,0.458956092
146,111.8443,35.094166,12.74,0.12,0.539935437,0.539935437
147,112.02023,35.09112,12.69,0.15,0.677567035,0.677567035
148,112.19598,35.08783,13.04,0.18,0.791243562,0.791243562
149,112.371994,35.08428,13.4,0.23,0.983837226,0.983837226
150,112.54776,35.080475,13.29,0.25,1.07821822,1.07821822
151,112.72362,35.07642,12.77,0.26,1.166985092,1.166985092
152,112.89935,35.072113,11.81,0.23,1.116261378,1.116261378
153,113.07511,35.067554,11.15,0.18,0.925343059,0.925343059
154,113.250885,35.062737,10.79,0.14,0.743746746,0.743746746
155,113.42669,35.057674,10.64,0.12,0.646493351,0.646493351
156,113.60245,35.052353,10.21,0.12,0.673718332,0.673718332
157,113.77798,35.04678,8.38,0.11,0.75243083,0.75243083
158,113.95359,35.040955,7,0.05,0.409456185,0.409456185
159,114.12925,35.034885,6.59,0.01,0.086987552,0.086987552
160,114.30471,35.028553,5.72,0,0,0
161,114.48026,35.021976,5.11,0,0,0
162,114.655685,35.01514,3.73,0,0,0
163,114.83112,35.00806,0.85,0,0,0
164,115.006454,35.00073,0.03,0,0,0
165,119.19758,34.750027,0.04,0,0,0
166,119.37124,34.736504,0.1,0,0,0
167,119.54492,34.722725,0.04,0.01,14.04336285,14.04336285
168,119.71851,34.708714,0.02,0.05,68.23318183,68.23318183
169,119.89196,34.694466,0.02,0.03,56.33849369,56.33849369
170,120.06528,34.67996,0,0.01,90.04564931,90.04564931
171,120.23865,34.66522,0,0.01,90.04564931,90.04564931
172,120.75787,34.619545,0.01,0,0,0
173,120.930786,34.603836,0.01,0,0,0
174,121.10359,34.58789,0.01,0,0,0
175,122.13826,34.4872,0,0.02,90.04564931,90.04564931
176,122.31034,34.469593,0,0.02,90.04564931,90.04564931
177,122.654144,34.43366,2.59,0.39,8.567558935,8.567558935
178,109.91376,35.25491,3.93,0.35,5.09183225,5.09183225
179,110.07913,35.254917,4,0.12,1.719229578,1.719229578
180,110.261696,35.254646,4.08,0.06,0.842951601,0.842951601
181,110.437454,35.25413,3.72,0.05,0.770448778,0.770448778
182,110.61389,35.253365,4.11,0.04,0.557888379,0.557888379
183,110.79031,35.252346,2.86,0.04,0.801693755,0.801693755
184,110.966515,35.251072,3.93,0.04,0.583438793,0.583438793
185,111.14295,35.24954,3.78,0.05,0.75822087,0.75822087
186,111.31864,35.247765,2.89,0.06,1.189964152,1.189964152
187,111.49541,35.245724,3.13,0.06,1.098744167,1.098744167
188,111.6714,35.243435,7.42,0.06,0.463533084,0.463533084
189,111.847694,35.240894,11.26,0.07,0.356366533,0.356366533
190,112.02391,35.23809,12.97,0.1,0.44197151,0.44197151
191,112.20016,35.23504,13.62,0.18,0.757552912,0.757552912
192,112.3762,35.23173,13.49,0.3,1.274619571,1.274619571
193,112.55237,35.22817,13.09,0.29,1.269784937,1.269784937
194,112.728645,35.224358,13.95,0.3,1.232602279,1.232602279
195,112.90455,35.220287,14.44,0.28,1.111422727,1.111422727
196,113.0807,35.215958,13.73,0.21,0.876713617,0.876713617
197,113.25672,35.211388,12.54,0.16,0.731377739,0.731377739
198,113.43279,35.20655,12.06,0.13,0.617905529,0.617905529
199,113.60864,35.201466,11.4,0.11,0.553117263,0.553117263
200,113.78465,35.19613,9.07,0.05,0.316010254,0.316010254
201,113.96057,35.190536,7.6,0.01,0.075427379,0.075427379
202,114.13654,35.184692,7.09,0,0,0
203,114.3123,35.178596,6.67,0,0,0
204,114.48817,35.172245,6.22,0,0,0
205,114.66389,35.165646,4.53,0,0,0
206,114.83959,35.158787,1.03,0,0,0
207,115.01529,35.15168,0.02,0,0,0
208,119.21359,34.906063,0.13,0,0,0
209,119.38765,34.89273,0.05,0,0,0
210,119.56155,34.879154,0.03,0.04,53.15705071,53.15705071
211,119.73541,34.865334,0.02,0.03,56.33849369,56.33849369
212,119.90916,34.851273,0.01,0.02,63.46712395,63.46712395
213,120.08285,34.836967,0,0.01,90.04564931,90.04564931
214,120.256424,34.82242,0,0.01,90.04564931,90.04564931
215,120.77657,34.77731,0.01,0,0,0
216,120.94978,34.761787,0.01,0,0,0
217,121.12289,34.746025,0.01,0,0,0
218,122.159256,34.64642,0,0.02,90.04564931,90.04564931
219,109.90512,35.398888,7.98,0.62,4.444880351,4.444880351
220,110.08393,35.398895,7.15,0.25,2.003548846,2.003548846
221,110.26244,35.398636,5.38,0.12,1.278409007,1.278409007
222,110.43835,35.398125,1.25,0.06,2.74948205,2.74948205
223,110.61453,35.397354,1.44,0.04,1.591947321,1.591947321
224,110.792046,35.396328,1.46,0.05,1.962412527,1.962412527
225,110.96793,35.395042,1.81,0.04,1.266641133,1.266641133
226,111.14449,35.393513,2.98,0.03,0.577076218,0.577076218
227,111.321014,35.391724,2.72,0.03,0.632233637,0.632233637
228,111.497894,35.389683,3.39,0.03,0.507286233,0.507286233
229,111.67433,35.38738,5.54,0.04,0.413890575,0.413890575
230,111.85076,35.384834,8.21,0.04,0.279290559,0.279290559
231,112.02739,35.382015,10.51,0.06,0.327255288,0.327255288
232,112.20407,35.378956,13.05,0.13,0.571033165,0.571033165
233,112.380554,35.375633,13.27,0.27,1.166207361,1.166207361
234,112.55704,35.37206,12.71,0.3,1.352813501,1.352813501
235,112.73331,35.368233,13.22,0.28,1.213960359,1.213960359
236,112.9098,35.364143,15.38,0.27,1.006249499,1.006249499
237,113.08617,35.359806,15.93,0.24,0.86358575,0.86358575
238,113.26249,35.355213,15.65,0.18,0.659298171,0.659298171
239,113.43889,35.350365,14.85,0.13,0.501820804,0.501820804
240,113.6152,35.345257,13.14,0.06,0.261755445,0.261755445
241,113.791275,35.339905,10.17,0.01,0.05636659,0.05636659
242,113.96768,35.334293,9.34,0,0,0
243,114.14369,35.32843,9.64,0,0,0
244,114.320015,35.322308,9.55,0.01,0.060025989,0.060025989
245,114.49615,35.315937,8.99,0.01,0.063765091,0.063765091
246,114.67215,35.309307,5.72,0,0,0
247,114.84812,35.302433,1.1,0,0,0
248,115.024185,35.295296,0.02,0,0,0
249,119.05537,35.061935,0.08,0,0,0
250,119.22983,35.048805,0.07,0,0,0
251,119.40407,35.03543,0.03,0.02,33.70715562,33.70715562
252,119.57831,35.02181,0.02,0.04,63.46712395,63.46712395
253,119.75249,35.007942,0.01,0.02,63.46712395,63.46712395
254,119.92649,34.993828,0.01,0.01,45.02282465,45.02282465
255,120.1005,34.979465,0,0.01,90.04564931,90.04564931
256,120.62181,34.934933,0.01,0,0,0
257,120.79539,34.919605,0.01,0,0,0
258,120.96888,34.904026,0.01,0,0,0
259,121.142235,34.888214,0.01,0,0,0
260,109.91153,35.542862,8.15,0.89,6.23530591,6.23530591
261,110.08393,35.542873,9.43,0.36,2.187372846,2.187372846
262,110.26318,35.542618,8.17,0.15,1.052357423,1.052357423
263,110.44013,35.5421,2.13,0.06,1.614357343,1.614357343
264,110.61612,35.541325,1.73,0.05,1.656326226,1.656326226
265,110.793274,35.540302,2.43,0.05,1.179357054,1.179357054
266,110.96975,35.539017,3.09,0.05,0.927505476,0.927505476
267,111.14671,35.53748,3.07,0.03,0.560159767,0.560159767
268,111.32382,35.535683,3.1,0.02,0.369832551,0.369832551
269,111.50076,35.53363,2.03,0.03,0.847103469,0.847103469
270,111.67772,35.531322,2.2,0.02,0.52112056,0.52112056
271,111.85414,35.528763,2.39,0.02,0.479694584,0.479694584
272,112.03115,35.525944,3.21,0.03,0.535730578,0.535730578
273,112.207886,35.52287,7.39,0.09,0.698102926,0.698102926
274,112.38483,35.51954,11.49,0.18,0.897965827,0.897965827
275,112.56148,35.51595,11.11,0.27,1.392858776,1.392858776
276,112.73831,35.512108,11.61,0.29,1.431588949,1.431588949
277,112.91477,35.508007,14.92,0.29,1.114082491,1.114082491
278,113.09155,35.50365,16.04,0.27,0.964853205,0.964853205
279,113.26825,35.49904,15.91,0.19,0.684550724,0.684550724
280,113.44492,35.49417,15.47,0.08,0.296441266,0.296441266
281,113.62169,35.489056,13.02,0.02,0.088056522,0.088056522
282,113.798134,35.48368,11.38,0,0,0
283,113.974686,35.478043,11.54,0.01,0.049674893,0.049674893
284,114.1512,35.472157,11.33,0.01,0.05059561,0.05059561
285,114.327576,35.466022,10.33,0.01,0.055493536,0.055493536
286,114.50407,35.45962,9.35,0.01,0.061309967,0.061309967
287,114.68044,35.452972,5.69,0,0,0
288,114.856804,35.44607,0.71,0,0,0
289,115.033066,35.43891,0.01,0,0,0
290,119.07128,35.204727,0.11,0,0,0
291,119.24597,35.19155,0.04,0.02,26.57852536,26.57852536
292,119.42065,35.178123,0.02,0.05,68.23318183,68.23318183
293,119.59514,35.16445,0.02,0.03,56.33849369,56.33849369
294,119.76961,35.150536,0.01,0.01,45.02282465,45.02282465
295,119.94395,35.136375,0,0.01,90.04564931,90.04564931
296,120.11815,35.121967,0,0.01,90.04564931,90.04564931
297,120.29236,35.107315,0.01,0,0,0
298,120.46643,35.09242,0.01,0,0,0
299,120.64042,35.077274,0.01,0,0,0
300,120.81428,35.06189,0.01,0,0,0
301,120.98808,35.046265,0.01,0,0,0
302,121.1617,35.030388,0.01,0,0,0
