FID,lon,lat,pm02,pm02_1
2159,114.340324,38.858616,3.25,3.25
2160,114.52485,38.84972,3.05,3.05
2161,114.70932,38.84054,2.89,2.89
2162,114.89369,38.831097,2.62,2.62
2163,115.07791,38.82137,2.26,2.26
2164,115.26217,38.81138,1.95,1.95
2165,115.446365,38.801105,1.72,1.72
2166,115.63055,38.79056,1.53,1.53
2167,115.81457,38.779747,1.35,1.35
2168,115.99862,38.768654,1.12,1.12
2169,116.18248,38.757294,0.96,0.96
2170,116.36649,38.745655,0.93,0.93
2171,116.55024,38.73375,0.91,0.91
2172,116.73403,38.72157,0.84,0.84
2173,116.91762,38.709118,0.72,0.72
2174,117.10123,38.696396,0.68,0.68
2175,117.28481,38.683407,0.78,0.78
2176,117.468216,38.67014,0.88,0.88
2177,117.651535,38.65661,0.98,0.98
2178,117.83489,38.642807,1.1,1.1
2179,118.01805,38.628742,1.3,1.3
2180,118.20115,38.614407,1.52,1.52
2181,118.38418,38.5998,1.73,1.73
2182,118.56713,38.584927,1.92,1.92
2183,118.750015,38.56978,2.09,2.09
2184,118.932755,38.55438,2.15,2.15
2185,119.1154,38.538704,2.03,2.03
2186,119.29799,38.522762,9.09,9.09
2187,119.48042,38.506554,9.72,9.72
2188,119.66274,38.49008,11.36,11.36
2189,119.845055,38.47335,13.71,13.71
2190,120.02724,38.456352,15.85,15.85
2191,120.20927,38.439087,18.36,18.36
2192,120.39119,38.421566,20.43,20.43
2193,120.57301,38.403778,21.81,21.81
2194,120.75474,38.385727,22.44,22.44
2195,120.9364,38.367416,21.68,21.68
2196,121.11786,38.348846,20.23,20.23
2197,121.29921,38.330017,18.75,18.75
2198,121.48047,38.31093,17.8,17.8
2199,121.66168,38.291576,17.21,17.21
2200,121.84264,38.27197,16.75,16.75
2201,122.0236,38.2521,16.13,16.13
2202,122.20437,38.231976,15.51,15.51
2203,122.38499,38.2116,15.42,15.42
2204,122.56553,38.19096,15.71,15.71
2205,109.90512,39.1328,33.71,33.71
2206,110.09279,39.130566,32.62,32.62
2207,110.275536,39.128044,31.18,31.18
2208,110.46055,39.125244,34.17,34.17
2209,110.64529,39.12217,38.53,38.53
2210,110.8304,39.118797,39.38,39.38
2211,111.01607,39.11516,35.3,35.3
2212,111.201706,39.111244,34,34
2213,111.386635,39.107037,34.93,34.93
2214,111.57209,39.10256,34.81,34.81
2215,111.75725,39.097797,33.11,33.11
2216,111.9426,39.092766,30,30
2217,112.1279,39.08745,24.47,24.47
2218,112.313,39.081852,20.08,20.08
2219,112.4985,39.07597,18.55,18.55
2220,112.68358,39.06982,13.89,13.89
2221,112.86888,39.06338,12.21,12.21
2222,113.0539,39.056675,10.5,10.5
2223,113.23912,39.049683,7.36,7.36
2224,113.42406,39.042423,6.5,6.5
2225,113.60891,39.034866,5.55,5.55
2226,113.79406,39.02705,4.61,4.61
2227,113.97907,39.01895,4,4
2228,114.16387,39.01058,3.59,3.59
2229,114.34885,39.00192,3.37,3.37
2230,114.53363,38.992996,3.21,3.21
2231,114.71846,38.983788,3.09,3.09
2232,114.90321,38.974304,2.81,2.81
2233,115.087814,38.964546,2.48,2.48
2234,115.2724,38.954514,2.21,2.21
2235,115.45697,38.944206,1.96,1.96
2236,115.641464,38.933624,1.8,1.8
2237,115.82588,38.922775,1.59,1.59
2238,116.01028,38.91164,1.36,1.36
2239,116.19448,38.90024,1.28,1.28
2240,116.37874,38.88856,1.23,1.23
2241,116.562836,38.876614,1.13,1.13
2242,116.74704,38.86439,1.03,1.03
2243,116.93113,38.851902,1.02,1.02
2244,117.114975,38.83913,1.11,1.11
2245,117.29891,38.82609,1.19,1.19
2246,117.48265,38.812782,1.28,1.28
2247,117.6664,38.799202,1.37,1.37
2248,117.85004,38.785355,1.53,1.53
2249,118.03356,38.771236,1.68,1.68
2250,118.217,38.75684,1.8,1.8
2251,118.40039,38.742188,1.92,1.92
2252,118.58365,38.72726,2.08,2.08
2253,118.76684,38.71207,2.16,2.16
2254,118.95,38.6966,2.04,2.04
2255,119.13291,38.680878,9.31,9.31
2256,119.31587,38.664875,10.02,10.02
2257,119.49866,38.648613,10.94,10.94
2258,119.68134,38.63209,12.6,12.6
2259,119.86399,38.6153,15.91,15.91
2260,120.04642,38.598236,18.95,18.95
2261,120.22884,38.580917,21.31,21.31
2262,120.41116,38.563328,22.3,22.3
2263,120.59328,38.545483,22.69,22.69
2264,120.77538,38.52737,21.51,21.51
2265,120.95726,38.509,19.98,19.98
2266,121.139145,38.490356,19.22,19.22
2267,121.32083,38.471462,17.88,17.88
2268,121.502464,38.452305,17.23,17.23
2269,121.68392,38.43288,17.09,17.09
2270,121.8653,38.41321,17.12,17.12
2271,122.04648,38.393272,16.88,16.88
2272,122.22757,38.37308,16.89,16.89
2273,122.40856,38.35263,16.96,16.96
2274,122.58939,38.33192,16.57,16.57
2275,109.90512,39.27656,34.52,34.52
2276,110.09279,39.27431,34.65,34.65
2277,110.275536,39.271786,32.8,32.8
2278,110.46055,39.268974,35.14,35.14
2279,110.6465,39.26588,41.46,41.46
2280,110.83205,39.262512,46.03,46.03
2281,111.0178,39.258854,38.11,38.11
2282,111.20366,39.25492,36.64,36.64
2283,111.38946,39.250713,37,37
2284,111.57508,39.246212,39.79,39.79
2285,111.76081,39.241432,36.65,36.65
2286,111.946625,39.236378,36.34,36.34
2287,112.132126,39.231045,31.32,31.32
2288,112.31765,39.22542,22.1,22.1
2289,112.50335,39.219532,20.37,20.37
2290,112.68883,39.21335,18.21,18.21
2291,112.8744,39.2069,13.6,13.6
2292,113.05992,39.200165,11.36,11.36
2293,113.24546,39.19315,8.64,8.64
2294,113.430855,39.185852,7.46,7.46
2295,113.61612,39.178284,6.41,6.41
2296,113.80154,39.17043,5.51,5.51
2297,113.986786,39.162304,4.66,4.66
2298,114.172134,39.1539,3.97,3.97
2299,114.357346,39.14521,3.65,3.65
2300,114.54253,39.136257,3.49,3.49
2301,114.72767,39.127018,3.33,3.33
2302,114.912674,39.1175,3.21,3.21
2303,115.097664,39.107708,2.92,2.92
2304,115.28272,39.097645,2.62,2.62
2305,115.46763,39.0873,2.42,2.42
