FID,lon,lat,pm03
419,110.44013,35.5421,8.34
420,110.61612,35.541325,6.36
421,110.793274,35.540302,5.96
422,110.96975,35.539017,5.39
423,111.14671,35.53748,4.58
424,111.32382,35.535683,3.98
425,111.50076,35.53363,3.72
426,111.67772,35.531322,3.54
427,111.85414,35.528763,3.72
428,112.03115,35.525944,4.04
429,112.207886,35.52287,4.56
430,112.38483,35.51954,5.02
431,112.56148,35.51595,5.14
432,112.73831,35.512108,4.79
433,112.91477,35.508007,4.88
434,113.09155,35.50365,5.29
435,113.26825,35.49904,5.63
436,113.44492,35.49417,5.13
437,113.62169,35.489056,4.83
438,113.798134,35.48368,4.91
439,113.974686,35.478043,4.78
440,114.1512,35.472157,4.65
441,114.327576,35.466022,4.53
442,114.50407,35.45962,4.37
443,114.68044,35.452972,4.14
444,114.856804,35.44607,4.09
445,115.033066,35.43891,4.11
446,115.20929,35.4315,4.49
447,115.38551,35.423832,4.81
448,115.56169,35.415913,4.19
449,115.73778,35.40774,2.31
450,115.91371,35.39932,1.57
451,116.08976,35.390644,1.38
452,116.2657,35.38171,1.35
453,116.441505,35.372528,1.39
454,116.61732,35.36309,1.43
455,116.793076,35.353405,1.42
456,116.96875,35.34347,1.54
457,117.14433,35.333282,1.61
458,117.3199,35.32284,1.61
459,117.49536,35.312153,1.58
460,117.67077,35.301212,1.59
461,117.84614,35.290028,1.67
462,118.02141,35.278584,1.7
463,118.19655,35.266895,1.37
464,118.37166,35.254955,0.71
465,118.54666,35.24277,0.27
466,118.72164,35.23034,0.18
467,118.896545,35.21766,0.15
468,119.07128,35.204727,0.16
469,119.24597,35.19155,0.17
470,119.42065,35.178123,0.18
471,119.59514,35.16445,0.19
472,119.76961,35.150536,0.2
473,119.94395,35.136375,0.21
474,120.11815,35.121967,0.23
475,120.29236,35.107315,0.26
476,120.46643,35.09242,0.3
477,120.64042,35.077274,0.3
478,120.81428,35.06189,0.3
479,120.98808,35.046265,0.36
480,121.1617,35.030388,0.51
481,121.3353,35.01428,0.74
482,121.50878,34.99792,1.32
483,121.682106,34.981323,1.63
484,121.855385,34.96448,1.68
485,122.028534,34.9474,1.88
486,122.20157,34.930088,2.69
487,122.374535,34.91253,3.67
488,122.54733,34.894733,2.48
489,109.90512,35.686844,10.78
490,110.08847,35.686855,9.64
491,110.26467,35.686596,8.15
492,110.440575,35.686077,5.71
493,110.61675,35.685307,5.16
494,110.79451,35.684277,4.81
495,110.97137,35.68299,4.1
496,111.14876,35.68145,3.95
497,111.32619,35.679646,3.78
498,111.50324,35.67759,3.61
499,111.68016,35.67527,3.61
500,111.857414,35.6727,3.83
501,112.03471,35.669865,4.58
502,112.211784,35.66678,5.29
503,112.38893,35.663437,5.48
504,112.5659,35.659836,5.54
505,112.743095,35.65598,5.21
506,112.92014,35.65186,5.38
507,113.09712,35.64749,5.82
508,113.27411,35.642864,5.42
509,113.451225,35.63798,4.93
510,113.62801,35.632843,5.04
511,113.804985,35.62745,4.9
512,113.98183,35.621796,4.82
513,114.1586,35.615887,4.59
514,114.33536,35.609722,4.44
515,114.51211,35.60331,4.35
516,114.68881,35.596634,4.06
517,114.86539,35.58971,3.97
518,115.0419,35.582527,3.74
519,115.21869,35.575085,3.49
520,115.39514,35.56739,3.21
521,115.57159,35.55944,2.21
522,115.74795,35.551243,1.66
523,115.92434,35.54279,1.34
524,116.1006,35.53408,1.26
525,116.27673,35.52512,1.24
526,116.453,35.515907,1.28
527,116.62904,35.50644,1.32
528,116.8051,35.49672,1.38
529,116.981094,35.486748,1.46
530,117.15706,35.476517,1.53
531,117.33289,35.466045,1.55
532,117.508705,35.455315,1.57
533,117.68432,35.444336,1.61
534,117.86003,35.43311,1.69
535,118.035614,35.421627,1.49
536,118.21103,35.4099,0.99
537,118.386475,35.397923,0.31
538,118.56186,35.385685,0.2
539,118.737015,35.373215,0.13
540,118.91221,35.36049,0.13
541,119.08736,35.347504,0.14
542,119.26231,35.334282,0.16
543,119.437225,35.320812,0.17
544,119.61203,35.3071,0.2
545,119.78686,35.293125,0.22
546,119.96147,35.278915,0.24
547,120.13602,35.264458,0.26
548,120.310486,35.24976,0.29
549,120.48482,35.234802,0.29
550,120.659065,35.21961,0.3
551,120.83326,35.20417,0.34
552,121.00733,35.188484,0.38
553,121.18131,35.172558,0.53
554,121.35514,35.15639,0.8
555,121.528915,35.139977,0.99
556,121.70256,35.123325,1.19
557,121.876144,35.10642,1.71
558,122.04961,35.089283,2.14
559,122.222916,35.071907,1.99
560,122.39611,35.054287,1.86
561,122.56923,35.036423,6.54
562,109.90512,35.83082,10.03
563,110.08847,35.830822,8.86
564,110.26244,35.830578,6.95
565,110.440575,35.83005,5.18
566,110.61866,35.82928,4.75
567,110.79598,35.828255,4.36
568,110.973175,35.826958,3.98
569,111.150635,35.82541,3.92
570,111.328545,35.823597,3.9
571,111.505714,35.82153,3.92
572,111.68319,35.819206,3.9
573,111.860886,35.816628,4.02
574,112.03846,35.81378,4.9
575,112.215675,35.810688,5.9
576,112.39319,35.807335,6.3
577,112.57047,35.80372,6.48
578,112.74809,35.79985,5.67
579,112.9253,35.795715,5.69
580,113.102745,35.791332,5.63
581,113.28003,35.786686,5.45
582,113.45718,35.78179,5.05
583,113.63438,35.776634,5.19
584,113.811775,35.771217,4.98
585,113.989,35.76554,4.75
586,114.16603,35.759613,4.44
587,114.343124,35.75343,4.37
588,114.52017,35.74699,4.33
589,114.69716,35.740288,4.11
590,114.874115,35.733337,3.92
591,115.0511,35.72613,3.5
592,115.22784,35.71867,3.05
593,115.404686,35.710945,2.69
594,115.5815,35.70297,2.1
595,115.75824,35.69474,1.87
596,115.93488,35.686256,1.58
597,116.11142,35.677513,1.37
598,116.28806,35.668518,1.27
599,116.46454,35.659275,1.2
