FID,lon,lat,speed2
252,119.71851,34.708714,66.80141063
253,119.89196,34.694466,71.5650524
254,120.06528,34.67996,78.69006887
255,120.23865,34.66522,90.00000154
256,120.411766,34.65023,75.96375783
257,120.5849,34.635006,68.19859168
258,120.75787,34.619545,51.34019262
259,120.930786,34.603836,51.34019262
260,121.10359,34.58789,75.96375783
261,121.276276,34.571712,90.00000154
262,121.448875,34.55528,90.00000154
263,121.62138,34.538616,90.00000154
264,122.654144,34.43366,41.57612946
265,109.91376,35.25491,37.36667005
266,110.07913,35.254917,32.6805553
267,110.261696,35.254646,30.96375706
268,110.437454,35.25413,30.61860593
269,110.61389,35.253365,29.8759932
270,110.79031,35.252346,29.8759932
271,110.966515,35.251072,27.89727151
272,111.14295,35.24954,30.96375706
273,111.31864,35.247765,33.23171163
274,111.49541,35.245724,35.90972369
275,111.6714,35.243435,36.86989827
276,111.847694,35.240894,36.86989827
277,112.02391,35.23809,39.50767612
278,112.20016,35.23504,42.99044692
279,112.3762,35.23173,43.05851434
280,112.55237,35.22817,38.45370987
281,112.728645,35.224358,32.69946168
282,112.90455,35.220287,32.51751117
283,113.0807,35.215958,26.05349575
284,113.25672,35.211388,20.87901724
285,113.43279,35.20655,17.8786969
286,113.60864,35.201466,17.46392719
287,113.78465,35.19613,17.05696587
288,113.96057,35.190536,17.05696587
289,114.13654,35.184692,18.03428587
290,114.3123,35.178596,18.83843388
291,114.48817,35.172245,19.47657583
292,114.66389,35.165646,17.59242486
293,114.83959,35.158787,14.84545234
294,115.01529,35.15168,17.05696587
295,115.1909,35.14432,19.31635315
296,115.36641,35.13671,17.1403496
297,115.542,35.12885,12.36906174
298,115.71752,35.120735,10.43747553
299,115.89289,35.112366,10.68491258
300,116.06825,35.103752,15.42216158
301,116.2436,35.094883,20.9245021
302,116.41885,35.085766,23.19859091
303,116.59399,35.0764,28.21735634
304,116.76916,35.06678,36.15818606
305,116.94422,35.056915,45.00000077
306,117.11925,35.046795,50.710594
307,117.29418,35.036434,45.00000077
308,117.46903,35.02582,63.43494991
309,117.64378,35.014957,63.43494991
310,117.81852,35.003845,63.43494991
311,117.99324,34.992485,45.00000077
312,118.167755,34.98088,45.00000077
313,118.34227,34.96903,45.00000077
314,118.516716,34.95693,0
315,118.86531,34.931988,90.00000154
316,119.03951,34.919147,90.00000154
317,119.21359,34.906063,63.43494991
318,119.38765,34.89273,71.5650524
319,119.56155,34.879154,75.96375783
320,119.73541,34.865334,68.19859168
321,119.90916,34.851273,78.69006887
322,120.08285,34.836967,78.69006887
323,120.256424,34.82242,90.00000154
324,120.42992,34.80762,90.00000154
325,120.60329,34.792587,80.53767917
326,120.77657,34.77731,49.3987062
327,120.94978,34.761787,56.30993343
328,121.12289,34.746025,75.96375783
329,121.29586,34.73003,90.00000154
330,121.46871,34.713783,90.00000154
331,109.90512,35.398888,32.27564487
332,110.08393,35.398895,30.32360738
333,110.26244,35.398636,30.96375706
334,110.43835,35.398125,30.25643768
335,110.61453,35.397354,29.35775404
336,110.792046,35.396328,27.40757591
337,110.96793,35.395042,28.53998567
338,111.14449,35.393513,30.67728055
339,111.321014,35.391724,31.66075164
340,111.497894,35.389683,32.34744405
341,111.67433,35.38738,30.67728055
342,111.85076,35.384834,29.31000757
343,112.02739,35.382015,33.23171163
344,112.20407,35.378956,41.93351521
345,112.380554,35.375633,43.50566715
346,112.55704,35.37206,39.71876005
347,112.73331,35.368233,35.69006043
348,112.9098,35.364143,35.3802728
349,113.08617,35.359806,28.55962097
350,113.26249,35.355213,20.87901724
351,113.43889,35.350365,17.52556867
352,113.6152,35.345257,17.28149867
353,113.791275,35.339905,16.69924452
354,113.96768,35.334293,16.11341851
355,114.14369,35.32843,16.63880595
356,114.320015,35.322308,17.19854151
357,114.49615,35.315937,20.09523153
358,114.67215,35.309307,19.06919386
359,114.84812,35.302433,17.39332244
360,115.024185,35.295296,21.46765181
361,115.2001,35.28791,24.30454968
362,115.37593,35.280273,22.83365457
363,115.55175,35.272385,12.40741874
364,115.727554,35.26424,9.462322369
365,115.90326,35.255844,10.40771149
366,116.078995,35.247196,15.19524879
367,116.25458,35.238297,24.77514099
368,116.430176,35.229145,38.92754426
369,116.60566,35.219753,42.87890433
370,116.78111,35.210094,41.63354005
371,116.95647,35.200195,36.86989827
372,117.131744,35.190044,35.5376784
373,117.306946,35.17964,45.00000077
374,117.482185,35.16899,71.5650524
375,117.65727,35.15809,90.00000154
376,117.83231,35.14694,90.00000154
377,118.007324,35.135532,90.00000154
378,118.18219,35.12389,90.00000154
379,118.35692,35.111996,90.00000154
380,118.53165,35.099854,90.00000154
381,119.57831,35.02181,90.00000154
382,119.75249,35.007942,90.00000154
383,119.92649,34.993828,90.00000154
384,120.1005,34.979465,90.00000154
385,120.27432,34.964867,90.00000154
386,120.44814,34.950024,90.00000154
387,120.62181,34.934933,49.3987062
388,120.79539,34.919605,57.99461778
389,120.96888,34.904026,71.5650524
390,121.142235,34.888214,90.00000154
391,121.315544,34.872154,90.00000154
392,109.91153,35.542862,30.67728055
393,110.08393,35.542873,30.81570628
394,110.26318,35.542618,33.43986978
395,110.44013,35.5421,31.12247073
396,110.61612,35.541325,29.05460459
397,110.793274,35.540302,31.26373223
398,110.96975,35.539017,31.82744712
399,111.14671,35.53748,30.67728055
400,111.32382,35.535683,28.81079423
401,111.50076,35.53363,26.93952852
402,111.67772,35.531322,23.78203083
403,111.85414,35.528763,23.5747066
404,112.03115,35.525944,26.99583885
405,112.207886,35.52287,27.68106204
406,112.38483,35.51954,33.90627757
407,112.56148,35.51595,33.27488855
408,112.73831,35.512108,32.47119284
409,112.91477,35.508007,34.87532894
410,113.09155,35.50365,29.57783919
411,113.26825,35.49904,20.30447406
412,113.44492,35.49417,15.64224672
413,113.62169,35.489056,13.47315834
414,113.798134,35.48368,13.60973213
415,113.974686,35.478043,14.77455053
416,114.1512,35.472157,14.97287602
417,114.327576,35.466022,15.85192842
418,114.50407,35.45962,20.88580182
419,114.68044,35.452972,21.09233987
420,114.856804,35.44607,19.91640633
421,115.033066,35.43891,26.2413501
422,115.20929,35.4315,29.24882684
423,115.38551,35.423832,25.40771854
424,115.56169,35.415913,7.765166151
425,115.73778,35.40774,4.548042487
426,115.91371,35.39932,6.41878684
427,116.08976,35.390644,5.826342129
428,116.2657,35.38171,16.69924452
429,116.441505,35.372528,30.96375706
430,116.61732,35.36309,35.5376784
431,116.793076,35.353405,35.5376784
432,116.96875,35.34347,29.7448818
433,117.14433,35.333282,38.65980891
434,117.3199,35.32284,56.30993343
435,117.49536,35.312153,90.00000154
436,117.67077,35.301212,90.00000154
437,117.84614,35.290028,90.00000154
438,118.02141,35.278584,90.00000154
439,118.19655,35.266895,90.00000154
440,118.37166,35.254955,90.00000154
441,119.94395,35.136375,90.00000154
442,120.11815,35.121967,90.00000154
443,120.29236,35.107315,78.69006887
444,120.46643,35.09242,60.25511973
445,120.64042,35.077274,49.3987062
446,120.81428,35.06189,57.99461778
447,120.98808,35.046265,80.53767917
448,121.1617,35.030388,90.00000154
449,109.90512,35.686844,37.03039024
450,110.08847,35.686855,40.42607943
451,110.26467,35.686596,39.05313761
452,110.440575,35.686077,35.13419366
453,110.61675,35.685307,34.15969513
454,110.79451,35.684277,32.98852218
455,110.97137,35.68299,26.95217939
456,111.14876,35.68145,23.42869321
457,111.32619,35.679646,21.47679135
458,111.50324,35.67759,22.69379533
459,111.68016,35.67527,27.59729634
460,111.857414,35.6727,30.17352054
461,112.03471,35.669865,21.80140986
462,112.211784,35.66678,23.40468995
463,112.38893,35.663437,27.25532884
464,112.5659,35.659836,29.27525478
465,112.743095,35.65598,33.08485349
466,112.92014,35.65186,24.32557565
467,113.09712,35.64749,14.1621683
468,113.27411,35.642864,9.211026698
469,113.451225,35.63798,7.188537265
470,113.62801,35.632843,8.130102493
471,113.804985,35.62745,10.66034848
472,113.98183,35.621796,14.42077337
473,114.1586,35.615887,17.17590391
